date,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,BB_MA,BB_STD,BB_UPPER,BB_LOWER,TR,ATR_14,VOLUME_MA,VOLUME_RATIO,VNINDEX_close,VNINDEX_return,VNINDEX_volatility,VN30_close,VN30_return,VN30_volatility,future_return,label,period,symbol
2023-09-07,16142,16247,15966,16072,9860968,15952.4,15692.7,15792.75,15822.073814832826,15794.382817018028,50.0,27.69099781479781,-14.334005971131464,42.02500378592927,15792.75,322.7659857842943,16438.281971568587,15147.21802843141,281.0,263.07142857142856,8714371.5,1.1315753522787042,1243.14,-0.0018948213568846795,0.013030565795308468,1255.22,-0.0038173694277120473,0.013899363357876499,-0.006595321055251402,-1,test,ACB
2023-09-08,16072,16107,15931,15966,5530112,15994.4,15755.8,15776.95,15844.216304858546,15807.095200942618,50.94136632598172,37.12110391592796,-4.042983993719579,41.16408790964754,15776.95,304.7895693413832,16386.529138682767,15167.370861317235,176.0,260.57142857142856,8212631.6,0.6733666222164404,1241.48,-0.001335328281609538,0.012939615478919302,1249.14,-0.004843772406430635,0.013863998403307019,-0.017537266691719955,-1,test,ACB
2023-09-11,16001,16072,15615,15686,10542303,15959.4,15776.9,15757.65,15819.87533488031,15798.12518605798,60.01267427122941,21.75014882232972,1.1156425694902805,20.63450625283944,15757.65,297.25096166519467,16352.15192333039,15163.14807666961,457.0,253.14285714285714,8104773.95,1.300752256020663,1223.63,-0.014378000451074402,0.013123874649712146,1230.71,-0.014754150855788795,0.01405150282714448,0.01785031238046675,1,test,ACB
2023-09-12,15686,15966,15580,15966,6685987,15959.4,15833.0,15752.35,15842.356052591032,15810.560357461092,64.70917225950782,31.795695129940214,7.251653081580267,24.544042048359948,15752.35,292.254084659832,16336.858169319665,15167.841830680336,386.0,263.2142857142857,7980868.05,0.8377518533212688,1245.44,0.017824015429500628,0.013558764548223107,1255.83,0.020410982278522116,0.014542995875175711,-0.008768633345859977,-1,test,ACB
2023-09-13,15966,16001,15756,15826,6942929,15903.2,15868.1,15734.8,15839.839736807797,15811.704034686196,59.270998415213946,28.135702121600843,11.428462889584383,16.707239232016462,15734.8,275.4683284886934,16285.736656977386,15183.863343022613,245.0,253.14285714285714,7805693.3,0.8894698693836716,1238.39,-0.005660650051387384,0.013607629156392773,1247.95,-0.006274734637649937,0.014620794027895524,-0.004423101225830894,0,test,ACB
2023-09-14,15791,16001,15721,15756,6195761,15840.0,15896.2,15720.75,15826.941315760443,15807.577809894627,61.546900713110254,19.363505865816478,13.015471484830803,6.348034380985675,15720.75,266.2556893394328,16253.261378678866,15188.238621321134,280.0,250.57142857142858,7792247.15,0.7951186455886476,1223.81,-0.011773350883001465,0.013860338882180565,1234.06,-0.01113025361593023,0.014838261373311415,0.008885503935008865,1,test,ACB
2023-09-15,15861,15966,15756,15896,5253147,15826.0,15910.2,15711.95,15837.565728720376,15814.127601754284,61.546900713110254,23.43812696609166,15.100002581082975,8.338124385008683,15711.95,256.7752396251694,16225.500479250339,15198.399520749663,210.0,245.57142857142858,7634778.25,0.6880549543138336,1227.36,0.002900777081409567,0.013762628987419933,1238.81,0.0038490835129572076,0.014565296172329661,-0.008807247106190186,-1,test,ACB
2023-09-18,15861,15896,15651,15756,4366920,15840.0,15899.7,15703.2,15825.017155071087,15809.821853476189,59.270998415213946,15.19530159489841,15.119062383846064,0.07623921105234643,15703.2,251.85242128201796,16206.904842564036,15199.495157435966,245.0,253.07142857142858,7346826.5,0.5943954168510717,1211.81,-0.012669469430321989,0.013937771159320616,1223.7,-0.012197189238059014,0.014724563211817195,-0.006664127951256704,-1,test,ACB
2023-09-19,15756,15861,15615,15651,8083377,15777.0,15868.2,15717.25,15798.245285060151,15798.057271737212,54.5643153526971,0.1880133229387866,12.132852571664609,-11.944839248725822,15717.25,239.83741751957382,16196.924835039148,15237.575164960852,246.0,263.14285714285717,6728031.55,1.2014475467196644,1211.5,-0.00025581568067600813,0.009285166458231775,1225.5,0.0014709487619515293,0.010133787288684382,0.006708836496070569,1,test,ACB
2023-09-20,15651,15826,15615,15756,5299737,15763.0,15833.1,15733.05,15791.746010435512,15794.941918275197,56.91096901131333,-3.195907839684878,9.067100489394711,-12.26300832907959,15733.05,230.8518492803208,16194.75369856064,15271.346301439358,211.0,265.7142857142857,6593945.65,0.8037277346985715,1226.11,0.012059430458109643,0.009583912090882657,1234.57,0.007401060791513592,0.01021208687163524,-0.0022213759837522717,0,test,ACB
2023-09-21,15721,15826,15686,15721,5430115,15756.0,15798.0,15745.35,15780.862008830049,15789.464739143701,49.020705092333515,-8.6027303136525,5.533134328785269,-14.13586464243777,15745.35,222.7919196785192,16190.93383935704,15299.766160642961,140.0,253.14285714285714,6411821.55,0.8468911615295969,1212.74,-0.010904404988133165,0.010006608457314225,1219.19,-0.0124577788217759,0.010698756392184594,-0.004452642961643716,0,test,ACB
2023-09-22,15580,15791,15510,15651,9796600,15707.0,15766.5,15761.15,15760.88323824081,15779.208091799725,44.00684931506849,-18.324853558913674,0.76153675124548,-19.086390310159153,15761.15,202.4339463428401,16166.01789268568,15356.282107314319,281.0,265.7142857142857,6624218.45,1.478906541797395,1193.05,-0.016235961541633093,0.01062033599134344,1197.69,-0.017634659076928072,0.011294219660619524,-0.013481566673056,-1,test,ACB
2023-09-25,15651,15686,15440,15440,7626780,15643.8,15741.9,15759.4,15711.516586203763,15754.081566481227,35.84499461786868,-42.5649802774642,-7.903766654496456,-34.66121362296774,15759.4,205.17063501885687,16169.741270037714,15349.058729962286,246.0,260.7142857142857,6739786.9,1.1316055111475407,1153.2,-0.033401785340094636,0.012621113292905134,1159.94,-0.031519007422621925,0.012800560983769756,-0.0045336787564767,0,test,ACB
2023-09-26,15475,15615,15335,15370,9407620,15587.6,15682.3,15757.65,15658.975572941645,15725.63108007521,29.378847229994406,-66.65550713356606,-19.654114750310377,-47.001392383255684,15757.65,208.47523518290404,16174.600470365807,15340.699529634192,280.0,263.14285714285717,6941087.5,1.3553524573778966,1137.96,-0.013215400624349671,0.01287250834813761,1153.37,-0.005664086073417729,0.01278309063247791,0.004554326610279658,0,test,ACB
2023-09-27,15370,15440,15265,15440,5688210,15524.4,15643.7,15755.9,15625.287023258314,15704.473222291863,32.65642151481889,-79.1861990335492,-31.560531606958143,-47.62566742659106,15755.9,211.1030928002481,16178.106185600496,15333.693814399503,175.0,255.57142857142858,6967470.2,0.8163953108834251,1153.85,0.01396358395725672,0.012767042173297676,1168.6,0.013204782506914592,0.012570770212551558,-0.01133419689119175,-1,test,ACB
2023-09-28,15335,15440,15229,15265,4993734,15433.2,15594.6,15745.4,15569.858250449342,15671.919650270243,31.464833421470118,-102.06139982090099,-45.66070524974671,-56.400694571154276,15745.4,230.17142353229235,16205.742847064585,15285.057152935415,211.0,258.07142857142856,6928221.0,0.7207815686018099,1152.43,-0.0012306625644580294,0.012730319637071255,1164.45,-0.003551257915454298,0.012548463264959073,0.0045856534556174555,0,test,ACB
2023-09-29,15300,15475,15300,15335,2341209,15370.0,15538.5,15724.35,15533.726211918674,15646.962639139114,39.559785841760856,-113.23642722043951,-59.17584964388527,-54.06057757655424,15724.35,247.7320868245755,16219.81417364915,15228.88582635085,210.0,240.42857142857142,6683804.1,0.3502809126317751,1154.15,0.0014924984597763924,0.012571294785213221,1166.26,0.0015543818970329415,0.012344093080624601,0.0022823606129769303,0,test,ACB
2023-10-02,15300,15405,15229,15370,3811689,15356.0,15499.9,15699.8,15508.537563931186,15626.446888091772,29.247910863509745,-117.90932416058604,-70.92254454722543,-46.98677961336061,15699.8,257.60937380855495,16215.018747617109,15184.58125238289,176.0,225.42857142857142,6513773.3,0.5851737271851325,1155.25,0.0009530823549797063,0.012314040706131884,1167.13,0.0007459743110456163,0.012157691194616092,-0.013728041639557542,-1,test,ACB
2023-10-03,15300,15370,15159,15159,5510811,15313.8,15450.7,15659.45,15454.762554095618,15591.821192677566,27.869940278699403,-137.0586385819479,-84.14976335416992,-52.90887522777797,15659.45,276.2463574426783,16211.942714885357,15106.957285114644,211.0,223.0,6407594.1,0.8600437096975291,1118.1,-0.032157541657649946,0.013610492012595654,1130.89,-0.031050525648385396,0.013404642756517749,0.0,0,test,ACB
