date,open,low,high,close,volume
2020-09-01 00:00:00,823.93,821.74,832.87,832.03,78823790
2020-09-03 00:00:00,832.27,832.27,844.27,843.64,104709690
2020-09-04 00:00:00,843.64,833.54,843.64,840.54,103338380
2020-09-07 00:00:00,840.64,824.36,843.8,824.36,98247460
2020-09-08 00:00:00,824.36,819.02,829.22,827.57,81334060
2020-09-09 00:00:00,827.5,816.51,828.38,824.42,82985570
2020-09-10 00:00:00,825.15,825.15,832.61,825.85,67659910
2020-09-11 00:00:00,825.85,821.97,827.83,825.56,64103290
2020-09-14 00:00:00,825.56,825.56,833.09,832.24,65500510
2020-09-15 00:00:00,832.27,831.13,835.42,833.33,87508060
2020-09-16 00:00:00,833.33,831.33,834.52,834.5,54112550
2020-09-17 00:00:00,834.6,829.08,837.76,831.84,96606620
2020-09-18 00:00:00,832.46,832.46,842.1,841.26,94168740
2020-09-21 00:00:00,841.28,841.28,852.65,851.54,106118340
2020-09-22 00:00:00,851.54,846.03,854.69,852.72,130393430
2020-09-23 00:00:00,852.72,852.72,860.34,858.3,111915820
2020-09-24 00:00:00,858.14,852.29,858.89,853.21,90213290
2020-09-25 00:00:00,853.19,850.1,856.79,854.71,105360670
2020-09-28 00:00:00,854.71,854.71,863.98,863.31,134681820
2020-09-29 00:00:00,863.59,856.2,871.99,856.2,135082450
2020-09-30 00:00:00,856.07,852.54,860.1,858.54,104923280
2020-10-01 00:00:00,859.27,859.27,868.3,867.58,106515880
2020-10-02 00:00:00,867.93,850.61,870.8,861.51,164531140
2020-10-05 00:00:00,861.65,861.65,869.09,867.7,115090400
2020-10-06 00:00:00,867.74,866.12,872.39,871.37,148279580
2020-10-07 00:00:00,870.98,867.06,876.31,870.85,157151510
2020-10-08 00:00:00,870.88,864.55,873.13,869.82,139809540
2020-10-09 00:00:00,869.8,868.36,875.52,874.53,115723800
2020-10-12 00:00:00,874.72,871.58,882.84,874.9,130255360
2020-10-13 00:00:00,874.58,872.36,879.25,878.35,103915810
2020-10-14 00:00:00,878.94,878.94,892.25,892.15,176566350
2020-10-15 00:00:00,896.5,893.94,901.71,899.2,167589220
2020-10-16 00:00:00,899.58,892.7,906.17,901.59,157348820
2020-10-19 00:00:00,899.61,899.61,906.16,903.51,142169620
2020-10-20 00:00:00,903.57,899.42,909.49,909.49,179990420
2020-10-21 00:00:00,910.63,905.08,918.14,906.1,152206540
