date,open,high,low,close,volume
2016-01-26,2641,2701,2622,2632,1299900
2016-01-27,2661,2691,2651,2671,1218350
2016-01-28,2681,2711,2641,2641,778140
2016-01-29,2661,2741,2641,2741,860030
2016-02-01,2741,2791,2661,2661,855840
2016-02-02,2641,2681,2632,2671,289590
2016-02-03,2632,2681,2622,2671,1232420
2016-02-04,2681,2701,2681,2691,177320
2016-02-05,2691,2711,2671,2691,155980
2016-02-15,2691,2691,2592,2632,1033620
2016-02-16,2632,2671,2632,2661,489920
2016-02-17,2641,2671,2641,2661,605330
2016-02-18,2671,2701,2671,2671,502930
2016-02-19,2671,2701,2671,2691,704540
2016-02-22,2681,2761,2681,2711,1091060
2016-02-23,2781,2781,2711,2711,807300
2016-02-24,2711,2721,2671,2711,669660
2016-02-25,2721,2781,2711,2721,941770
2016-02-26,2731,2831,2721,2831,1862030
2016-02-29,2871,2871,2781,2781,941320
2016-03-01,2781,2781,2721,2731,964040
2016-03-02,2741,2751,2671,2711,1616220
2016-03-03,2731,2741,2691,2691,737360
2016-03-04,2701,2761,2681,2741,758830
2016-03-07,2751,2801,2741,2771,2201530
2016-03-08,2811,2921,2811,2881,6767430
2016-03-09,2891,2941,2841,2841,2672170
2016-03-10,2851,2861,2831,2851,1245540
2016-03-11,2861,2901,2841,2871,2144310
2016-03-14,2891,3010,2891,2990,3870560
2016-03-15,3010,3040,2960,2990,2696450
2016-03-16,3010,3010,2970,2980,1634300
2016-03-17,3010,3030,2980,2990,2100490
2016-03-18,3000,3000,2960,2960,2584200
2016-03-21,2980,3020,2970,2970,1512420
2016-03-22,2980,2980,2941,2941,1602960
2016-03-23,2921,2960,2901,2921,1576220
2016-03-24,2911,2950,2871,2871,1758820
2016-03-25,2871,2911,2861,2891,1704310
2016-03-28,2901,2980,2901,2980,1174990
2016-03-29,2990,3030,2970,2970,2044410
2016-03-30,2960,2980,2941,2941,1579390
2016-03-31,2941,3010,2931,2941,2460570
2016-04-01,2941,2950,2871,2891,1523320
2016-04-04,2891,2941,2881,2911,986480
2016-04-05,2911,2931,2901,2921,536800
2016-04-06,2921,3010,2921,3010,1954970
2016-04-07,3030,3060,3000,3000,2701300
2016-04-08,3000,3100,2990,3070,7079970
2016-04-11,3100,3160,3100,3140,5057970
2016-04-12,3140,3170,3130,3160,2850420
2016-04-13,3160,3160,3080,3100,3106110
2016-04-14,3100,3170,3100,3130,2142460
2016-04-15,3150,3180,3120,3120,2734540
2016-04-19,3130,3130,3080,3080,3047720
2016-04-20,3110,3140,3070,3110,2813360
2016-04-21,3130,3190,3130,3140,3670790
2016-04-22,3150,3269,3140,3259,4327260
2016-04-25,3289,3339,3279,3289,3046090
2016-04-26,3269,3329,3240,3289,3019430
2016-04-27,3289,3289,3230,3259,2321780
2016-04-28,3250,3269,3210,3240,1669040
2016-04-29,3230,3339,3230,3339,3455190
2016-05-04,3379,3529,3369,3489,6404100
2016-05-05,3499,3668,3439,3489,7908200
2016-05-06,3449,3479,3379,3389,4098640
2016-05-09,3429,3459,3379,3379,3455700
2016-05-10,3339,3389,3319,3339,4939730
2016-05-11,3389,3439,3379,3439,2497620
2016-05-12,3449,3459,3389,3389,1742800
2016-05-13,3369,3379,3299,3319,3860220
2016-05-16,3309,3319,3279,3309,2259110
2016-05-17,3319,3369,3319,3349,1339920
2016-05-18,3359,3359,3299,3299,1773380
2016-05-19,3299,3349,3289,3309,1726020
2016-05-20,3309,3319,3289,3309,1426750
2016-05-23,3309,3379,3299,3359,1149830
2016-05-24,3349,3399,3339,3359,1526440
2016-05-25,3369,3409,3349,3359,1842560
2016-05-26,3349,3369,3309,3309,1851110
2016-05-27,3299,3339,3289,3319,1594940
2016-05-30,3329,3389,3329,3369,3173180
2016-05-31,3389,3409,3359,3369,3495250
2016-06-01,3369,3479,3349,3429,5684250
2016-06-02,3429,3519,3409,3509,5218950
2016-06-03,3549,3578,3519,3549,6462490
2016-06-06,3568,3658,3519,3529,7411920
2016-06-07,3539,3618,3539,3618,3047640
2016-06-08,3658,3728,3638,3678,3724890
2016-06-09,3708,3708,3638,3658,2965630
2016-06-10,3668,3738,3658,3688,2439340
2016-06-13,3678,3678,3618,3638,2928110
2016-06-14,3628,3778,3608,3778,3443200
2016-06-15,3778,3858,3748,3788,2129160
2016-06-16,3788,3858,3788,3798,2814140
2016-06-17,3778,3818,3728,3728,5659440
2016-06-20,3788,3828,3758,3828,1648120
2016-06-21,3868,3957,3868,3907,3610830
2016-06-22,3907,3977,3887,3947,2285990
2016-06-23,3937,4017,3937,3997,4020040
2016-06-24,3977,3987,3718,3868,12178690
2016-06-27,3818,3887,3758,3887,3206680
2016-06-28,3848,3917,3838,3858,1830580
2016-06-29,3868,3957,3858,3917,4457030
2016-06-30,3967,4017,3937,3947,3438530
2016-07-01,3967,4027,3957,3967,5658560
2016-07-04,3987,4007,3957,3977,4158970
